index,train_scores
0,
1,0.9999999999889303
2,0.9999999999902283
3,0.9999999999970126
4,0.999999999999573
5,0.999999999999626
6,0.9999999999997129
7,0.999999999999722
8,0.9999999999997159
9,0.9999999999996918
10,0.9999999999997486
11,0.9999999999997479
12,0.9999999999997878
13,0.9999999999997777
14,0.9999999999997812
15,0.9999999999996406
16,0.9999999999996952
17,0.9999999999998371
18,0.9999999999997872
19,0.9999999999997883
20,0.999999999999823
21,0.9999999999998054
22,0.9999999999998197
23,0.9999999999998014
24,0.9999999999998069
25,0.999999999999822
26,0.9999999999998646
27,0.9999999999998174
28,0.999999999999827
29,0.9999999999998287
30,0.9999999999998463
31,0.9999999999998499
32,0.9999999999997882
33,0.9999999999998339
34,0.9999999999998348
35,0.9999999999998195
36,0.9999999999998122
37,0.999999999999827
38,0.9999999999997818
39,0.9999999999998654
40,0.9999999999998678
41,0.9999999999998488
42,0.9999999999998002
43,0.9999999999998229
44,0.9999999999997629
45,0.9999999999998642
46,0.9999999999997355
47,0.9999999999998885
48,0.9999999999998258
49,0.9999999999998466
50,0.9999999999998215
51,0.9999999999997031
52,0.9999999999997996
53,0.9999999999998774
54,0.9999999999998408
55,0.9999999999998541
56,0.999999999999801
57,0.9999999999995327
58,0.9999999999976413
59,0.9999999999996143
60,0.9999999999995925
61,0.999999999999597
62,0.9999999999998116
63,0.9999999999992497
64,0.9999999999994112
65,0.999999999994645
66,0.9999999999996044
67,0.9999999999997714
68,0.9999999999925853
69,0.9999999999971213
70,0.9999999999987015
71,0.999999999996672
72,0.9999999999810061
73,0.9999999999972983
74,0.9999999999976839
75,0.9999999999936388
76,0.9999999999798516
77,0.9999999999945375
78,0.9999999999920659
79,0.9999999999775718
80,0.9999999999786481
81,0.9999999999908883
82,0.9999999999877656
83,0.9999999999869833
84,0.9999999999917641
85,0.9999999999100752
86,0.9999999999731224
87,0.9999999999273016
88,0.9999999999699004
89,0.9999999999714008
90,0.9999999999467145
91,0.9999999999309015
92,0.9999999999641652
93,0.9999999999420072
94,0.999999999908779
95,0.99999999998294
96,0.9999999999692479
97,0.9999999999457124
98,0.9999999997893151
99,0.9999999999107452
100,0.9999999999388387
101,0.9999999998772949
102,0.9999999998332284
103,0.9999999999703247
104,0.9999999999191678
105,0.9999999994809134
106,0.9999999998559815
107,0.999999999829696
108,0.9999999999400189
109,0.9999999999430834
110,0.9999999997906092
111,0.9999999998476576
112,0.9999999999255951
113,0.9999999999126963
114,0.9999999991491244
115,0.9999999997706963
116,0.9999999997882781
117,0.9999999987823676
118,0.9999999994252438
119,0.9999999992614729
120,0.9999999986548426
121,0.9999999992893668
122,0.9999999993104938
123,0.9999999997405827
124,0.9999999994171284
125,0.9999999990097378
126,0.9999999991090474
127,0.9999999994107308
128,0.9999999996550427
129,0.9999999975357975
130,0.9999999991028833
131,0.9999999975954011
132,0.999999999651862
133,0.9999999987128168
134,0.9999999995289341
135,0.9999999996600173
136,0.9999999986651288
