AdjSalePrice,GrLivArea,QualScore,HouseAge,GarageScore,AllBaths,RoomScore,Details,Impress,YrSold_2006,YrSold_2007,YrSold_2008,YrSold_2009,YrSold_2010,Location,Fundamentals
116167.60099750625,856,5136,67.33333333333333,798.0,2.0,4,254,6,0.0,0.0,0.0,0.0,1.0,SWISU_RLY,B_Mid_Fund
127628.23690773068,1049,5245,24.999999999999996,266.0,3.0,25,328,36,0.0,0.0,0.0,1.0,0.0,Edwards_RLY,B_Mid_Fund
117820.87980049875,1001,5005,51.33333333333333,216.0,1.0,20,328,8,0.0,1.0,0.0,0.0,0.0,IDOTRR_C (all)N,B_Mid_Fund
104624.1396508728,1039,4156,74.66666666666666,281.0,1.0,30,326,24,0.0,0.0,0.0,1.0,0.0,OldTown_RLN,B_Mid_Fund
208362.22443890272,1665,13320,8.0,1056.0,4.0,120,328,40,0.0,0.0,0.0,1.0,0.0,NWAmes_RLY,C_Str_Fund
182579.4089775561,1922,13454,6.0,1344.0,3.0,175,338,24,0.0,0.0,0.0,1.0,0.0,Edwards_RLY,B_Mid_Fund
85085.49127182046,936,3744,55.99999999999999,1152.0,1.0,12,166,16,0.0,0.0,0.0,1.0,0.0,OldTown_RMY,A_Wk_Fund
174654.68870822943,1246,8722,0.6666666666666666,856.0,2.0,50,336,32,0.0,0.0,1.0,0.0,0.0,Blmngtn_RLY,C_Str_Fund
127558.16708229425,889,4445,24.0,968.0,1.0,12,246,24,0.0,0.0,1.0,0.0,0.0,Mitchel_RLY,B_Mid_Fund
134146.53366583542,1072,6432,2.0,1050.0,2.0,30,248,9,0.0,1.0,0.0,0.0,0.0,Edwards_RMY,C_Str_Fund
205402.73566084786,1342,10736,1.6666666666666665,1100.0,2.0,72,336,36,0.0,0.0,1.0,0.0,0.0,NridgHt_RLY,C_Str_Fund
125387.2518703242,1274,6370,19.0,1152.0,2.0,60,246,30,0.0,0.0,0.0,0.0,1.0,Mitchel_RLY,C_Str_Fund
73431.62094763092,861,3444,79.0,576.0,1.0,5,246,6,0.0,0.0,0.0,1.0,0.0,OldTown_RMN,B_Mid_Fund
146247.48628428928,1394,8364,46.0,1028.0,3.0,78,254,24,0.0,0.0,0.0,1.0,0.0,NAmes_RLY,B_Mid_Fund
195888.44887780547,1536,10752,5.666666666666666,1064.0,3.0,119,328,32,0.0,0.0,1.0,0.0,0.0,CollgCr_RLY,C_Str_Fund
149012.8927680798,1680,10080,14.666666666666666,948.0,4.0,147,328,40,0.0,0.0,1.0,0.0,0.0,SawyerW_RLY,C_Str_Fund
196633.59600997507,1274,8918,1.3333333333333333,1016.0,3.0,60,328,32,0.0,1.0,0.0,0.0,0.0,CollgCr_RLY,C_Str_Fund
61206.92269326684,864,2592,82.0,0.0,2.0,5,246,6,0.0,0.0,1.0,0.0,0.0,Edwards_RLN,A_Wk_Fund
189109.1770573566,1610,9660,25.0,960.0,3.0,114,254,24,0.0,0.0,0.0,0.0,1.0,NWAmes_RLY,C_Str_Fund
120626.27805486284,1091,6546,15.0,429.0,2.0,30,246,21,0.0,0.0,0.0,1.0,0.0,Mitchel_RLY,B_Mid_Fund
172820.24438902744,1486,10402,1.0,1132.0,2.0,112,328,32,0.0,1.0,0.0,0.0,0.0,SawyerW_RLY,C_Str_Fund
106685.01246882792,789,3945,59.33333333333333,250.0,1.0,0,246,24,0.0,0.0,1.0,0.0,0.0,OldTown_RMY,B_Mid_Fund
91195.2319201995,1092,6552,25.666666666666664,0.0,3.0,36,246,12,0.0,0.0,1.0,0.0,0.0,MeadowV_RMY,B_Mid_Fund
244103.7196508728,2640,18480,88.0,3456.0,2.0,232,336,24,0.0,0.0,0.0,1.0,0.0,OldTown_RMN,A_Wk_Fund
97267.31670822944,1092,5460,39.0,320.0,2.0,36,246,12,0.0,0.0,0.0,0.0,1.0,BrDale_RMY,B_Mid_Fund
161133.94167082297,1458,10206,0.6666666666666666,908.0,2.0,90,248,30,0.0,1.0,0.0,0.0,0.0,Gilbert_RLY,C_Str_Fund
184878.89775561096,1466,11728,2.0,1830.0,2.0,105,328,32,0.0,0.0,0.0,1.0,0.0,Timber_RLY,C_Str_Fund
163724.93765586035,1573,9438,10.0,880.0,3.0,90,328,16,0.0,0.0,0.0,0.0,1.0,Somerst_FVY,C_Str_Fund
183579.05236907728,2090,14630,36.0,968.0,4.0,182,252,30,0.0,0.0,0.0,1.0,0.0,NWAmes_RLY,B_Mid_Fund
428669.3266832917,2046,20460,1.6666666666666665,2634.0,4.0,182,418,40,0.0,1.0,0.0,0.0,0.0,NridgHt_RLY,C_Str_Fund
83832.52518703241,886,4430,51.666666666666664,273.0,1.0,8,246,6,0.0,0.0,0.0,1.0,0.0,OldTown_RMY,A_Wk_Fund
165275.84039900248,1258,8806,0.0,924.0,2.0,60,328,32,0.0,1.0,0.0,0.0,0.0,Gilbert_RLY,C_Str_Fund
183872.33416458854,1324,7944,5.0,860.0,2.0,72,328,32,0.0,0.0,0.0,0.0,1.0,Gilbert_RLY,C_Str_Fund
190105.49625935164,1848,11088,59.33333333333333,740.0,2.0,192,256,15,0.0,0.0,1.0,0.0,0.0,BrkSide_RLN,B_Mid_Fund
142349.52618453867,1269,6345,48.0,308.0,2.0,60,250,24,0.0,0.0,1.0,0.0,0.0,NAmes_RLY,A_Wk_Fund
202852.06982543643,1346,9422,2.0,1980.0,3.0,72,334,32,0.0,0.0,0.0,0.0,1.0,Timber_RLY,C_Str_Fund
193751.6209476309,1749,12243,6.999999999999999,1030.0,3.0,154,328,40,1.0,0.0,0.0,0.0,0.0,CollgCr_RLY,C_Str_Fund
60794.51371571072,492,1476,75.33333333333333,200.0,2.0,0,246,6,1.0,0.0,0.0,0.0,0.0,OldTown_RMN,B_Mid_Fund
186187.5561097257,2030,12180,30.999999999999996,1102.0,3.0,208,254,30,0.0,1.0,0.0,0.0,0.0,NWAmes_RLY,B_Mid_Fund
